"","Day","temp_type","temp"
"1081",361,"Mean",75
"1082",361,"Min",69
"1083",361,"Max",81
"1084",362,"Mean",65
"1085",362,"Min",58
"1086",362,"Max",71
"1087",363,"Mean",68
"1088",363,"Min",62
"1089",363,"Max",73
"1090",364,"Mean",70
"1091",364,"Min",63
"1092",364,"Max",76
"1093",365,"Mean",75
"1094",365,"Min",68
"1095",365,"Max",82
